id,image_path,color
13998,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\13998.jpg,White
18037,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\18037.jpg,Beige
14667,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\14667.jpg,White
3613,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\3613.jpg,Blue
2585,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\2585.jpg,Black
20120,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\20120.jpg,Purple
4512,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\4512.jpg,Grey
58448,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\58448.jpg,Olive
33330,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\33330.jpg,Grey
42971,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\42971.jpg,Pink
13674,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\13674.jpg,Black
29955,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\29955.jpg,Grey
6010,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\6010.jpg,Purple
37885,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\37885.jpg,Red
39511,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\39511.jpg,Orange
57544,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\57544.jpg,Orange
14148,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\14148.jpg,Grey
43298,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\43298.jpg,Brown
14530,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\14530.jpg,Green
54000,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\54000.jpg,White
32610,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\32610.jpg,Black
43883,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\43883.jpg,Black
56920,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\56920.jpg,Black
15406,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\15406.jpg,White
53864,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\53864.jpg,Brown
5542,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\5542.jpg,Black
23584,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\23584.jpg,Green
58911,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\58911.jpg,Grey
33271,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\33271.jpg,Red
34776,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\34776.jpg,Orange
6661,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\6661.jpg,Black
59374,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\59374.jpg,Green
21268,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\21268.jpg,Black
11055,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\11055.jpg,Blue
32582,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\32582.jpg,Yellow
58701,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\58701.jpg,White
31905,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\31905.jpg,Yellow
12754,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\12754.jpg,Blue
36669,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\36669.jpg,Brown
11235,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\11235.jpg,Blue
53404,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\53404.jpg,Blue
25145,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\25145.jpg,Beige
51184,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\51184.jpg,Black
24085,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\24085.jpg,White
9926,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\9926.jpg,Green
35708,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\35708.jpg,Black
36347,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\36347.jpg,Purple
36425,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\36425.jpg,Grey
