id,image_path,color
3644.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\3644.jpg,Navy Blue
30759.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\30759.jpg,Black
25786.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\25786.jpg,Black
33589.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\33589.jpg,Green
11994.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\11994.jpg,White
,extra_color_dataset/silver_skirt/000059.jpg,Silver
31687.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\31687.jpg,White
52983.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\52983.jpg,Burgundy
22538.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\22538.jpg,Grey
,extra_color_dataset/red_dress/55.jpg,Red
,extra_color_dataset/green_suit/000144.jpg,Green
29297.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\29297.jpg,Black
37590.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\37590.jpg,Pink
,extra_color_dataset/yellow_skirt/000144.jpg,Yellow
,extra_color_dataset/green_suit/000009.jpg,Green
40017.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\40017.jpg,White
39982.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\39982.jpg,Black
15757.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\15757.jpg,Blue
24108.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\24108.jpg,Navy Blue
5728.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\5728.jpg,White
,extra_color_dataset/red_pants/11.jpg,Red
26714.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\26714.jpg,Green
17453.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\17453.jpg,Black
48369.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\48369.jpg,Black
16344.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\16344.jpg,Blue
,extra_color_dataset/brown_pants/304.jpg,Brown
,extra_color_dataset/yellow_dress/000470.jpg,Yellow
58264.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\58264.jpg,Beige
51647.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\51647.jpg,Blue
22569.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\22569.jpg,Blue
44863.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\44863.jpg,Blue
,extra_color_dataset/brown_hoodie/000013.jpg,Brown
33586.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\33586.jpg,Purple
,extra_color_dataset/green_shirt/51.jpg,Green
17180.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\17180.jpg,Pink
48246.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\48246.jpg,White
,extra_color_dataset/red_shoes/37.jpg,Red
52089.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\52089.jpg,Black
24545.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\24545.jpg,Red
5043.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\5043.jpg,White
46610.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\46610.jpg,Blue
58311.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\58311.jpg,Black
4513.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\4513.jpg,Black
25100.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\25100.jpg,Tan
15099.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\15099.jpg,Green
,extra_color_dataset/blue_shirt/506.jpg,Blue
5933.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\5933.jpg,White
56109.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\56109.jpg,Red
,extra_color_dataset/red_hoodie/000047.jpg,Red
51586.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\51586.jpg,Blue
25156.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\25156.jpg,Black
13964.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\13964.jpg,White
,extra_color_dataset/yellow_skirt/000459.jpg,Yellow
,extra_color_dataset/brown_shoes/12.jpg,Brown
5784.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\5784.jpg,Yellow
38223.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\38223.jpg,Black
13152.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\13152.jpg,White
19135.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\19135.jpg,Black
24599.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\24599.jpg,Purple
58620.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\58620.jpg,Silver
2309.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\2309.jpg,Blue
57241.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\57241.jpg,Blue
7676.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\7676.jpg,Red
,extra_color_dataset/red_dress/162.jpg,Red
23814.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\23814.jpg,Black
54548.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\54548.jpg,Yellow
45289.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\45289.jpg,Black
14340.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\14340.jpg,Pink
46630.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\46630.jpg,Gold
48758.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\48758.jpg,White
6249.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\6249.jpg,Grey
33871.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\33871.jpg,Black
7075.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\7075.jpg,Red
,extra_color_dataset/silver_skirt/000205.jpg,Silver
23147.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\23147.jpg,Black
21408.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\21408.jpg,Black
30835.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\30835.jpg,Pink
43949.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\43949.jpg,Black
48613.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\48613.jpg,Silver
,extra_color_dataset/white_dress/40.jpg,White
,extra_color_dataset/brown_hoodie/000418.jpg,Brown
52622.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\52622.jpg,Purple
8130.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\8130.jpg,Brown
,extra_color_dataset/silver_skirt/000156.jpg,Silver
,extra_color_dataset/brown_hoodie/000366.jpg,Brown
41625.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\41625.jpg,Black
53601.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\53601.jpg,Black
,extra_color_dataset/black_shirt/158.jpg,Black
,extra_color_dataset/green_suit/000078.jpg,Green
12468.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\12468.jpg,White
9817.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\9817.jpg,Black
58179.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\58179.jpg,Blue
37520.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\37520.jpg,Yellow
,extra_color_dataset/blue_dress/430.jpg,Blue
30956.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\30956.jpg,Mustard
45440.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\45440.jpg,Blue
26533.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\26533.jpg,Green
,extra_color_dataset/white_dress/686.jpg,White
2202.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\2202.jpg,White
12706.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\12706.jpg,White
10146.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\10146.jpg,Black
,extra_color_dataset/white_dress/534.jpg,White
22687.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\22687.jpg,White
,extra_color_dataset/blue_shorts/131.jpg,Blue
45999.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\45999.jpg,Green
49877.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\49877.jpg,Black
28329.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\28329.jpg,Brown
11305.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\11305.jpg,Blue
49653.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\49653.jpg,Green
19320.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\19320.jpg,Pink
51825.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\51825.jpg,Black
42654.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\42654.jpg,White
33632.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\33632.jpg,Blue
25076.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\25076.jpg,Black
56061.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\56061.jpg,Purple
,extra_color_dataset/black_suit/000179.jpg,Black
,extra_color_dataset/green_suit/000227.jpg,Green
35646.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\35646.jpg,Brown
17491.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\17491.jpg,Red
56989.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\56989.jpg,Brown
5501.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\5501.jpg,Black
,extra_color_dataset/green_shorts/28.jpg,Green
13840.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\13840.jpg,Black
51690.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\51690.jpg,Purple
16216.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\16216.jpg,Grey
48046.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\48046.jpg,Blue
36977.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\36977.jpg,Black
49668.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\49668.jpg,White
57070.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\57070.jpg,Blue
11595.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\11595.jpg,Purple
8236.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\8236.jpg,Black
49149.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\49149.jpg,Brown
1559.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\1559.jpg,Blue
25396.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\25396.jpg,White
44157.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\44157.jpg,Pink
53535.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images_cropped\53535.jpg,Burgundy
,extra_color_dataset/black_pants/305.jpg,Black
