id,image_path,color
48588.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\48588.jpg,Silver
26493.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\26493.jpg,White
22853.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\22853.jpg,Brown
56713.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\56713.jpg,Red
26181.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\26181.jpg,Silver
,extra_color_dataset/black_shoes/220.jpg,Black
30331.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\30331.jpg,Black
59639.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\59639.jpg,Green
42921.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\42921.jpg,Black
12786.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\12786.jpg,Green
8585.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\8585.jpg,Purple
34538.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\34538.jpg,Brown
19612.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\19612.jpg,Blue
18431.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\18431.jpg,Black
46557.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\46557.jpg,Grey
29506.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\29506.jpg,White
43871.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\43871.jpg,White
,extra_color_dataset/red_dress/524.jpg,Red
55829.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\55829.jpg,Yellow
52354.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\52354.jpg,Yellow
,extra_color_dataset/blue_shirt/83.jpg,Blue
,extra_color_dataset/white_dress/659.jpg,White
32005.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\32005.jpg,Grey
,extra_color_dataset/pink_pants/000449.jpg,Pink
12139.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\12139.jpg,Purple
3580.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\3580.jpg,Brown
23734.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\23734.jpg,Brown
47420.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\47420.jpg,Silver
53032.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\53032.jpg,Red
2153.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\2153.jpg,Blue
25361.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\25361.jpg,Black
,extra_color_dataset/blue_shirt/86.jpg,Blue
,extra_color_dataset/red_pants/241.jpg,Red
,extra_color_dataset/black_shirt/544.jpg,Black
8714.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\8714.jpg,Black
10197.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\10197.jpg,Brown
,extra_color_dataset/pink_skirt/000361.jpg,Pink
44482.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\44482.jpg,Brown
25549.0,D:\stylora train model 1\clothes_color_project_v2\fashion-dataset\fashion-dataset\images\25549.jpg,Green
,extra_color_dataset/green_shoes/98.jpg,Green
